,filename,type,annotations,breed,breed_class,ymin,ymax,xmin,xmax,train/test
0,n02085620-Chihuahua/n02085620_10074.jpg,1,Annotation/n02085620-Chihuahua/n02085620_10074,Chihuahua,Toy Group,10.0,498.0,25.0,276.0,test
1,n02085620-Chihuahua/n02085620_10131.jpg,1,Annotation/n02085620-Chihuahua/n02085620_10131,Chihuahua,Toy Group,9.0,493.0,49.0,393.0,test
2,n02085620-Chihuahua/n02085620_10621.jpg,1,Annotation/n02085620-Chihuahua/n02085620_10621,Chihuahua,Toy Group,43.0,250.0,142.0,335.0,train
3,n02085620-Chihuahua/n02085620_1073.jpg,1,Annotation/n02085620-Chihuahua/n02085620_1073,Chihuahua,Toy Group,27.0,498.0,0.0,312.0,test
4,n02085620-Chihuahua/n02085620_10976.jpg,1,Annotation/n02085620-Chihuahua/n02085620_10976,Chihuahua,Toy Group,104.0,452.0,90.0,242.0,train
5,n02085620-Chihuahua/n02085620_11140.jpg,1,Annotation/n02085620-Chihuahua/n02085620_11140,Chihuahua,Toy Group,38.0,253.0,17.0,451.0,train
6,n02085620-Chihuahua/n02085620_11238.jpg,1,Annotation/n02085620-Chihuahua/n02085620_11238,Chihuahua,Toy Group,191.0,383.0,39.0,145.0,train
7,n02085620-Chihuahua/n02085620_11258.jpg,1,Annotation/n02085620-Chihuahua/n02085620_11258,Chihuahua,Toy Group,30.0,375.0,76.0,363.0,train
8,n02085620-Chihuahua/n02085620_11337.jpg,1,Annotation/n02085620-Chihuahua/n02085620_11337,Chihuahua,Toy Group,37.0,179.0,59.0,229.0,test
9,n02085620-Chihuahua/n02085620_11477.jpg,1,Annotation/n02085620-Chihuahua/n02085620_11477,Chihuahua,Toy Group,95.0,459.0,317.0,558.0,test
10,n02085620-Chihuahua/n02085620_1152.jpg,1,Annotation/n02085620-Chihuahua/n02085620_1152,Chihuahua,Toy Group,81.0,225.0,3.0,156.0,train
11,n02085620-Chihuahua/n02085620_11696.jpg,1,Annotation/n02085620-Chihuahua/n02085620_11696,Chihuahua,Toy Group,0.0,516.0,211.0,696.0,test
12,n02085620-Chihuahua/n02085620_11818.jpg,1,Annotation/n02085620-Chihuahua/n02085620_11818,Chihuahua,Toy Group,90.0,343.0,121.0,302.0,test
13,n02085620-Chihuahua/n02085620_11948.jpg,1,Annotation/n02085620-Chihuahua/n02085620_11948,Chihuahua,Toy Group,16.0,436.0,0.0,461.0,train
14,n02085620-Chihuahua/n02085620_1205.jpg,1,Annotation/n02085620-Chihuahua/n02085620_1205,Chihuahua,Toy Group,0.0,239.0,146.0,350.0,test
15,n02085620-Chihuahua/n02085620_12101.jpg,1,Annotation/n02085620-Chihuahua/n02085620_12101,Chihuahua,Toy Group,4.0,252.0,5.0,350.0,train
16,n02085620-Chihuahua/n02085620_12334.jpg,1,Annotation/n02085620-Chihuahua/n02085620_12334,Chihuahua,Toy Group,186.0,330.0,159.0,250.0,train
17,n02085620-Chihuahua/n02085620_1235.jpg,1,Annotation/n02085620-Chihuahua/n02085620_1235,Chihuahua,Toy Group,111.0,299.0,194.0,275.0,test
18,n02085620-Chihuahua/n02085620_1271.jpg,1,Annotation/n02085620-Chihuahua/n02085620_1271,Chihuahua,Toy Group,3.0,350.0,19.0,324.0,test
19,n02085620-Chihuahua/n02085620_12718.jpg,1,Annotation/n02085620-Chihuahua/n02085620_12718,Chihuahua,Toy Group,42.0,487.0,26.0,304.0,test
20,n02085620-Chihuahua/n02085620_1298.jpg,1,Annotation/n02085620-Chihuahua/n02085620_1298,Chihuahua,Toy Group,94.0,230.0,151.0,438.0,train
21,n02085620-Chihuahua/n02085620_13151.jpg,1,Annotation/n02085620-Chihuahua/n02085620_13151,Chihuahua,Toy Group,29.0,333.0,176.0,379.0,train
22,n02085620-Chihuahua/n02085620_1321.jpg,1,Annotation/n02085620-Chihuahua/n02085620_1321,Chihuahua,Toy Group,42.0,314.0,111.0,248.0,test
23,n02085620-Chihuahua/n02085620_13383.jpg,1,Annotation/n02085620-Chihuahua/n02085620_13383,Chihuahua,Toy Group,242.0,498.0,156.0,334.0,test
24,n02085620-Chihuahua/n02085620_1346.jpg,1,Annotation/n02085620-Chihuahua/n02085620_1346,Chihuahua,Toy Group,8.0,316.0,1.0,432.0,train
25,n02085620-Chihuahua/n02085620_13964.jpg,1,Annotation/n02085620-Chihuahua/n02085620_13964,Chihuahua,Toy Group,133.0,495.0,96.0,373.0,test
26,n02085620-Chihuahua/n02085620_14252.jpg,1,Annotation/n02085620-Chihuahua/n02085620_14252,Chihuahua,Toy Group,110.0,248.0,166.0,346.0,test
27,n02085620-Chihuahua/n02085620_14413.jpg,1,Annotation/n02085620-Chihuahua/n02085620_14413,Chihuahua,Toy Group,123.0,850.0,142.0,546.0,train
28,n02085620-Chihuahua/n02085620_14516.jpg,1,Annotation/n02085620-Chihuahua/n02085620_14516,Chihuahua,Toy Group,2.0,478.0,51.0,487.0,train
29,n02085620-Chihuahua/n02085620_1455.jpg,1,Annotation/n02085620-Chihuahua/n02085620_1455,Chihuahua,Toy Group,153.0,498.0,60.0,331.0,train
30,n02085620-Chihuahua/n02085620_1492.jpg,1,Annotation/n02085620-Chihuahua/n02085620_1492,Chihuahua,Toy Group,143.0,332.0,58.0,190.0,test
31,n02085620-Chihuahua/n02085620_1502.jpg,1,Annotation/n02085620-Chihuahua/n02085620_1502,Chihuahua,Toy Group,13.0,331.0,51.0,418.0,train
32,n02085620-Chihuahua/n02085620_1558.jpg,1,Annotation/n02085620-Chihuahua/n02085620_1558,Chihuahua,Toy Group,6.0,493.0,0.0,327.0,train
33,n02085620-Chihuahua/n02085620_1569.jpg,1,Annotation/n02085620-Chihuahua/n02085620_1569,Chihuahua,Toy Group,10.0,273.0,24.0,277.0,train
34,n02085620-Chihuahua/n02085620_1617.jpg,1,Annotation/n02085620-Chihuahua/n02085620_1617,Chihuahua,Toy Group,6.0,237.0,2.0,356.0,train
35,n02085620-Chihuahua/n02085620_1620.jpg,1,Annotation/n02085620-Chihuahua/n02085620_1620,Chihuahua,Toy Group,0.0,374.0,25.0,465.0,test
36,n02085620-Chihuahua/n02085620_1765.jpg,1,Annotation/n02085620-Chihuahua/n02085620_1765,Chihuahua,Toy Group,85.0,437.0,55.0,327.0,test
37,n02085620-Chihuahua/n02085620_1816.jpg,1,Annotation/n02085620-Chihuahua/n02085620_1816,Chihuahua,Toy Group,14.0,325.0,0.0,225.0,train
38,n02085620-Chihuahua/n02085620_1862.jpg,1,Annotation/n02085620-Chihuahua/n02085620_1862,Chihuahua,Toy Group,107.0,247.0,152.0,228.0,test
39,n02085620-Chihuahua/n02085620_1916.jpg,1,Annotation/n02085620-Chihuahua/n02085620_1916,Chihuahua,Toy Group,7.0,397.0,8.0,456.0,train
40,n02085620-Chihuahua/n02085620_199.jpg,1,Annotation/n02085620-Chihuahua/n02085620_199,Chihuahua,Toy Group,50.0,404.0,65.0,249.0,train
41,n02085620-Chihuahua/n02085620_2053.jpg,1,Annotation/n02085620-Chihuahua/n02085620_2053,Chihuahua,Toy Group,73.0,366.0,176.0,441.0,train
42,n02085620-Chihuahua/n02085620_2188.jpg,1,Annotation/n02085620-Chihuahua/n02085620_2188,Chihuahua,Toy Group,98.0,498.0,46.0,327.0,test
43,n02085620-Chihuahua/n02085620_2204.jpg,1,Annotation/n02085620-Chihuahua/n02085620_2204,Chihuahua,Toy Group,76.0,223.0,267.0,350.0,test
44,n02085620-Chihuahua/n02085620_2208.jpg,1,Annotation/n02085620-Chihuahua/n02085620_2208,Chihuahua,Toy Group,144.0,249.0,178.0,231.0,train
45,n02085620-Chihuahua/n02085620_242.jpg,1,Annotation/n02085620-Chihuahua/n02085620_242,Chihuahua,Toy Group,45.0,486.0,113.0,368.0,train
46,n02085620-Chihuahua/n02085620_2479.jpg,1,Annotation/n02085620-Chihuahua/n02085620_2479,Chihuahua,Toy Group,16.0,239.0,40.0,260.0,train
47,n02085620-Chihuahua/n02085620_2507.jpg,1,Annotation/n02085620-Chihuahua/n02085620_2507,Chihuahua,Toy Group,35.0,322.0,79.0,324.0,train
48,n02085620-Chihuahua/n02085620_2517.jpg,1,Annotation/n02085620-Chihuahua/n02085620_2517,Chihuahua,Toy Group,26.0,314.0,125.0,372.0,test
49,n02085620-Chihuahua/n02085620_2590.jpg,1,Annotation/n02085620-Chihuahua/n02085620_2590,Chihuahua,Toy Group,88.0,239.0,201.0,417.0,test
50,n02085620-Chihuahua/n02085620_2614.jpg,1,Annotation/n02085620-Chihuahua/n02085620_2614,Chihuahua,Toy Group,2.0,374.0,123.0,305.0,train
51,n02085620-Chihuahua/n02085620_2650.jpg,1,Annotation/n02085620-Chihuahua/n02085620_2650,Chihuahua,Toy Group,87.0,303.0,108.0,405.0,test
52,n02085620-Chihuahua/n02085620_2693.jpg,1,Annotation/n02085620-Chihuahua/n02085620_2693,Chihuahua,Toy Group,140.0,307.0,188.0,325.0,train
